"","Bangladesh","Kenya"
"n","1761","1893"
"tr (%)","",""
"   Control","432 (24.5)","519 (27.9)"
"   Nutrition","435 (24.7)","435 (23.4)"
"   Nutrition + WSH","451 (25.6)","450 (24.2)"
"   WSH","443 (25.2)","456 (24.5)"
"laz_t1 (median [IQR])","-1.29 [-1.99, -0.58]","-0.78 [-1.47, -0.08]"
"waz_t1 (median [IQR])","-1.21 [-1.86, -0.57]","-0.26 [-1.01, 0.39]"
"laz_t2 (median [IQR])","-1.39 [-2.07, -0.75]","-1.27 [-1.99, -0.55]"
"waz_t2 (median [IQR])","-1.31 [-2.00, -0.63]","-0.62 [-1.29, 0.03]"
"cesd_sum_t2 (median [IQR])","24.00 [8.00, 47.00]","NA [NA, NA]"
"cesd_sum_ee_t3 (median [IQR])","24.00 [7.00, 54.00]","NA [NA, NA]"
"pss_sum_mom_t3 (median [IQR])","12.00 [7.00, 32.00]","NA [NA, NA]"
"quantile_phq (median [IQR])","NA [NA, NA]","2.00 [1.00, 3.00]"
"quantile_pss (median [IQR])","NA [NA, NA]","2.00 [1.00, 3.00]"
"sex (%)","",""
"   female","871 (49.5)","894 (47.2)"
"   male","890 (50.5)","946 (50.0)"
"   missing","0 (0.0)","53 (2.8)"
"life_viol_any_t3 = 1 (%)","836 (57.1)","0 (NaN)"
"birthord (%)","",""
"   first","597 (33.9)","1488 (78.6)"
"   missing","109 (6.2)","2 (0.1)"
"   second or greater","1055 (59.9)","403 (21.3)"
"momage (median [IQR])","23.00 [20.00, 27.00]","25.42 [21.29, 30.00]"
"momheight (%)","",""
"   [-1,0)","591 (33.6)","590 (31.2)"
"   [-2,-1)","232 (13.2)","241 (12.7)"
"   [-4.46,-2)","36 (2.0)","0 (0.0)"
"   [0,1)","570 (32.4)","597 (31.5)"
"   [1,2)","253 (14.4)","243 (12.8)"
"   [2,3.29]","28 (1.6)","0 (0.0)"
"   missing","51 (2.9)","144 (7.6)"
"   [-3.5,-2)","0 (0.0)","37 (2.0)"
"   [2,3.19]","0 (0.0)","41 (2.2)"
"momedu (%)","",""
"   No education","248 (14.1)","0 (0.0)"
"   Primary (1-5y)","498 (28.3)","0 (0.0)"
"   Secondary (>5y)","1015 (57.6)","0 (0.0)"
"   AnySecondary","0 (0.0)","413 (21.8)"
"   IncompletePrimary","0 (0.0)","990 (52.3)"
"   missing","0 (0.0)","55 (2.9)"
"   Primary","0 (0.0)","435 (23.0)"
"hfiacat (%)","",""
"   Food Secure","1244 (70.6)","0 (NaN)"
"   Mildly Food Insecure","147 (8.3)","0 (NaN)"
"   Moderately Food Insecure","310 (17.6)","0 (NaN)"
"   Severely Food Insecure","60 (3.4)","0 (NaN)"
"Nlt18 (median [IQR])","1.00 [1.00, 2.00]","3.00 [1.00, 4.00]"
"Ncomp (median [IQR])","9.00 [6.00, 14.00]","7.00 [5.00, 11.00]"
"watmin (median [IQR])","0.00 [0.00, 1.00]","NA [NA, NA]"
"walls = 1 (%)","1137 (64.6)","0 (NaN)"
"floor (%)","",""
"   0","1532 (87.0)","1747 (92.3)"
"   1","229 (13.0)","91 (4.8)"
"   9","0 (0.0)","2 (0.1)"
"   missing","0 (0.0)","53 (2.8)"
"roof (%)","",""
"   0","22 (1.2)","706 (37.3)"
"   1","1739 (98.8)","1134 (59.9)"
"   missing","0 (0.0)","53 (2.8)"
"hh_index (median [IQR])","3.28 [1.00, 8.99]","-0.38 [-1.04, 0.62]"
